web_sku,product_ref,product_name,category,price_eur
WEB-UC-TS-001,UC-TS-001,T-shirt coton bio blanc,T-shirts,29.90
WEB-UC-TS-002,UC-TS-002,T-shirt oversize noir,T-shirts,34.90
WEB-UC-PA-001,UC-PA-001,Jean slim indigo,Pantalons,79.90
WEB-UC-PA-002,UC-PA-002,Pantalon chino beige,Pantalons,59.90
WEB-WEB-PA-002,WEB-PA-002,Pantalon chino beige (web),Pantalons,64.90
WEB-UC-RO-001,UC-RO-001,Robe midi lin,Robes,89.90
WEB-WEB-RO-001,WEB-RO-001,Robe midi lin (web),Robes,94.90
WEB-UC-RO-002,UC-RO-002,Robe portefeuille,Robes,69.90
WEB-UC-VE-001,UC-VE-001,Veste denim,Vestes,99.90
WEB-WEB-VE-001,WEB-VE-001,Veste denim (web),Vestes,104.90
WEB-UC-VE-002,UC-VE-002,Blouson leger,Vestes,119.90
WEB-UC-AC-001,UC-AC-001,Echarpe laine,Accessoires,39.90
WEB-UC-AC-002,UC-AC-002,Ceinture cuir,Accessoires,49.90
WEB-WEB-AC-002,WEB-AC-002,Ceinture cuir (web),Accessoires,54.90
WEB-UC-CH-001,UC-CH-001,Basket minimaliste,Chaussures,89.90
WEB-WEB-CH-001,WEB-CH-001,Basket minimaliste (web),Chaussures,94.90
WEB-UC-CH-002,UC-CH-002,Mocassin cuir,Chaussures,109.90
WEB-WEB-CH-002,WEB-CH-002,Mocassin cuir (web),Chaussures,114.90
WEB-UC-TS-003,UC-TS-003,Debardeur coton,T-shirts,24.90
WEB-UC-PA-003,UC-PA-003,Short lin,Pantalons,44.90
WEB-UC-RO-003,UC-RO-003,Combinaison ete,Robes,79.90
WEB-UC-VE-003,UC-VE-003,Parka impermeable,Vestes,149.90
WEB-UC-AC-003,UC-AC-003,Bonnet merinos,Accessoires,29.90
WEB-UC-AC-004,UC-AC-004,Sac tote coton,Accessoires,34.90
WEB-WEB-AC-004,WEB-AC-004,Sac tote coton (web),Accessoires,39.90
WEB-UC-TS-004,UC-TS-004,Polo pique,T-shirts,39.90
WEB-UC-PA-004,UC-PA-004,Jogging confort,Pantalons,54.90
